"ID","Rol","Función","API / servidor","Web","Mobile nativo","Hallazgos","Pendiente"
"P08","Proveedor","Estado y checklist de publicación","Parcial: Estado aprobado y visibilidad; checklist visual pendiente","Parcial: Clic a Publicación; checklist no agotado","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P09","Proveedor","Reservas entrantes y decisiones","Parcial: Confirmar propia reserva y bloquear tercero; rechazo pendiente","Parcial: Clic a Reservas; no se operó desde UI","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P10","Proveedor","Llegada y salida del servicio","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"P11","Proveedor","Evidencia documental posterior","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"P12","Proveedor","Completar reserva","Parcial: Completar reserva confirmada","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P13","Proveedor","Mensajes y avisos en consola","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"P14","Proveedor","Panel multinegocio e indicadores","No ejecutada","Parcial: Panel y navegación de secciones","No ejecutada en dispositivo","H07 (pendiente)","Completar variantes y canales; repetir tras correcciones"
"P15","Proveedor","Eliminar configuraciones creadas por error","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F01","Familia protectora","Crear familia y solicitar aprobación","Parcial: Crear perfil protector, solicitar revisión y aprobar por admin","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"F02","Familia protectora","Inicio y gestión por contexto","No ejecutada","Parcial: Sin sesión solicita autenticación; recorrido autenticado pendiente","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"F03","Familia protectora","Perfil público de la protectora","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F04","Familia protectora","Logo, redes y apoyo declarado","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F05","Familia protectora","Registrar mascotas bajo acogida","Parcial: Crear mascota de acogida QA","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"F06","Familia protectora","Expediente privado de acogida","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F07","Familia protectora","Gastos de acogida","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F08","Familia protectora","Comprobantes de gastos","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F09","Familia protectora","Preparar ficha de adopción","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F10","Familia protectora","Galería, portada y publicación responsable","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F11","Familia protectora","Pausar, cerrar y consultar historia","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F12","Familia protectora","Bandeja de interés público","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F13","Familia protectora","Invitar a continuar en la app","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F14","Familia protectora","Evaluar solicitudes formales","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F15","Familia protectora","Compromiso documental","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"F16","Familia protectora","Cierre responsable y transferencia","Parcial: Transferencia privada aceptada; cierre de solicitud formal pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"F17","Familia protectora","Seguimiento de transferencias y custodia","Parcial: Listas entrada/salida y aislamiento tras transferencia; historial completo pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"F18","Familia protectora","Panel y embudo de adopción","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D01","Adoptante","Conocer una protectora y sus mascotas","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D02","Adoptante","Explorar una mascota en adopción","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D03","Adoptante","Enviar interés inicial público","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D04","Adoptante","Abrir invitación y continuar en Mobile","No ejecutada","Parcial: Invitación inválida muestra no disponible","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"D05","Adoptante","Presentar solicitud formal","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D06","Adoptante","Seguir o retirar solicitud","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D07","Adoptante","Compromiso de adopción","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"D08","Adoptante","Aceptar o rechazar transferencia","Parcial: Aceptar transferencia y bloquear actor/hogar ajeno y doble aceptación; rechazo pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"T01","Comunidad PET ALERT","Centro público y filtros","No ejecutada","Parcial: Tres categorías y estados vacíos","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"T02","Comunidad PET ALERT","Reportar pérdida de mascota registrada","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T03","Comunidad PET ALERT","Administrar la alerta propia","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T04","Comunidad PET ALERT","Reportar mascota propia sin cuenta","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T05","Comunidad PET ALERT","Ficha y cartel compartible","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T06","Comunidad PET ALERT","Aportar avistamiento a una alerta","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T07","Comunidad PET ALERT","Reportar mascota vista en la comunidad","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T08","Comunidad PET ALERT","Gestionar reportes propios","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T09","Comunidad PET ALERT","Reconocer una mascota y solicitar contacto","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T10","Comunidad PET ALERT","Revisar reclamos y liberar contacto","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T11","Comunidad PET ALERT","Confirmar ubicación opcional","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"T12","Comunidad PET ALERT","Mapa público aproximado","No ejecutada","Parcial: Alternar mapa/lista sin datos; no se verifican marcadores","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"T13","Comunidad PET ALERT","Denunciar contenido y límites comunitarios","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"V01","Profesional clínico","Consulta temporal por QR","Parcial: Crear/revocar grant y comprobar escritura posterior","Parcial: Token inválido muestra no disponible","No ejecutada en dispositivo","H01 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"V02","Profesional clínico","Identificación profesional","Parcial: Crear y enviar identidad QA; no credenciales reales","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"V03","Profesional clínico","Verificación y estados","Parcial: Verificación y suspensión administrativa","No ejecutada","No ejecutada en dispositivo","H02 (corregido en servidor); H03 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"V04","Profesional clínico","Solicitar alcances de escritura","Parcial: Solicitar scopes y aprobar; rechazo pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"V05","Profesional clínico","Aprobar, rechazar o revocar consentimiento","Parcial: Revocación de grant/autorización y estado completed; revocar completed corregido y probado en servidor","No ejecutada","No ejecutada en dispositivo","H01 (corregido en servidor); H05 (servidor corregido; publicar cliente)","Completar variantes y canales; repetir tras correcciones"
"V06","Profesional clínico","Registrar, revisar y finalizar atención","Parcial: Finalizar y reintentar misma clave; prueba suspendido; reintento inmutable corregido y probado","Parcial: Confirmación real QA; atención guardada tras fallo de adjunto, sin duplicar; web local","No ejecutada en dispositivo","H01 (corregido en servidor); H04 (servidor corregido; publicar cliente)","Completar variantes y canales; repetir tras correcciones"
"V07","Profesional clínico","Documentos clínicos privados","Parcial: Preparar/subir/finalizar archivo sintético","Parcial: PNG real, respuesta perdida y recuperación desde UI; una sola subida; web local","No ejecutada en dispositivo","H03 (corregido en servidor); H05 (servidor corregido; publicar cliente)","Completar variantes y canales; repetir tras correcciones"
"V08","Profesional clínico","Rectificar y consultar historial","Parcial: Timeline y rectificación tras suspensión","No ejecutada","No ejecutada en dispositivo","H02 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"A01","Administrador","Acceso y panel de colas","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A02","Administrador","Revisar y aprobar proveedores","Parcial: Aprobación QA y bloqueo autoaprobación","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"A03","Administrador","Aprobar familias y perfiles públicos","Parcial: Aprobar/suspender perfil protector interno; perfil público pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"A04","Administrador","Moderar adopciones y auditar cierres","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A05","Administrador","Moderar denuncias PET ALERT","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A06","Administrador","Revisar reportes externos","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A07","Administrador","Moderación geográfica diferenciada","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A08","Administrador","Verificar profesionales y revisar eventos","Parcial: Verificar/suspender profesional; lectura de eventos pendiente","No ejecutada","No ejecutada en dispositivo","H02 (corregido en servidor); H03 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"A09","Administrador","Soporte por reserva","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"A10","Administrador","Manual interno","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
